Data Source,TIMEFRAME (DD/MM/YYYY),Volumetric Flow Meter 1,Volumetric Flow Meter 2,Pump Speed (RPM),Pump Torque ,Ambient Temperature,Horse Power,Pump Efficiency,PUMP FAILURE (1 or 0)
Raw,9/12/2014 0:00,41.3,41.16,98,207,54,3.86,74.84,0
Raw,9/12/2014 0:01,42.4,41.39,92,212,46,3.71,75.25,0
Raw,9/12/2014 0:02,41.43,41.15,80,207,55,3.15,74.82,0
Raw,9/12/2014 0:03,42.21,40.93,83,190,49,3.00,74.42,0
Raw,9/12/2014 0:04,40.51,43.32,90,195,50,3.34,78.76,0
Raw,9/12/2014 0:05,42.14,40.01,92,220,47,3.85,72.75,0
Raw,9/12/2014 0:06,43.05,41.09,86,211,51,3.46,74.71,0
Raw,9/12/2014 0:07,40.82,41.44,98,196,54,3.66,75.35,0
Raw,9/12/2014 0:08,40.84,41.97,91,186,53,3.22,76.31,0
Raw,9/12/2014 0:09,40.25,41.16,83,189,45,2.99,74.84,0
Raw,9/12/2014 0:10,40.13,41.66,85,205,51,3.32,75.75,0
Raw,9/12/2014 0:11,43.37,42.77,82,204,54,3.19,77.76,0
Raw,9/12/2014 0:12,41.24,42.77,81,216,45,3.33,77.76,0
Raw,9/12/2014 0:13,43.4,43.3,88,188,49,3.15,78.73,0
Raw,9/12/2014 0:14,42.75,42.21,90,198,52,3.39,76.75,0
Raw,9/12/2014 0:15,40.17,42.37,88,184,45,3.08,77.04,0
Raw,9/12/2014 0:16,41.55,43.63,90,200,47,3.43,79.33,0
Raw,9/12/2014 0:17,42.02,41.58,90,193,55,3.31,75.60,0
Raw,9/12/2014 0:18,41.17,40.52,87,182,52,3.01,73.67,0
Raw,9/12/2014 0:19,41.84,42,83,193,51,3.05,76.36,0
Raw,9/12/2014 0:20,43.01,41.8,91,220,45,3.81,76.00,0
Raw,9/12/2014 0:21,41.19,42.71,93,215,48,3.81,77.65,0
Raw,9/12/2014 0:22,43.48,40.75,88,219,47,3.67,74.09,0
Raw,9/12/2014 0:23,42.74,41.16,82,206,46,3.22,74.84,0
Raw,9/12/2014 0:24,42,43.44,97,217,48,4.01,78.98,0
Raw,9/12/2014 0:25,41.3,40.45,83,192,51,3.03,73.55,0
Raw,9/12/2014 0:26,43.56,42.75,98,205,48,3.83,77.73,0
Raw,9/12/2014 0:27,41.16,41.58,82,214,52,3.34,75.60,0
Raw,9/12/2014 0:28,42.61,42.31,97,213,46,3.93,76.93,0
Raw,9/12/2014 0:29,41.17,41.08,92,211,55,3.70,74.69,0
Raw,9/12/2014 0:30,40.42,40.02,97,197,53,3.64,72.76,0
Raw,9/12/2014 0:31,41.45,40.64,81,218,45,3.36,73.89,0
Raw,9/12/2014 0:32,42.36,43.07,97,191,46,3.53,78.31,0
Raw,9/12/2014 0:33,42.76,42.19,95,185,46,3.35,76.71,0
Raw,9/12/2014 0:34,42.01,43.55,81,191,53,2.95,79.18,0
Raw,9/12/2014 0:35,40.05,42.98,90,194,50,3.32,78.15,0
Raw,9/12/2014 0:36,42.67,43.15,87,212,51,3.51,78.45,0
Raw,9/12/2014 0:37,42.5,40.18,84,190,46,3.04,73.05,0
Raw,9/12/2014 0:38,42.11,42.41,81,183,45,2.82,77.11,0
Raw,9/12/2014 0:39,42.59,41.43,81,189,52,2.91,75.33,0
Raw,9/12/2014 0:40,43.19,42.06,89,219,46,3.71,76.47,0
Raw,9/12/2014 0:41,43.98,43.48,81,199,55,3.07,79.05,0
Raw,9/12/2014 0:42,41.33,40.32,93,200,53,3.54,73.31,0
Raw,9/12/2014 0:43,42.79,40.76,93,209,48,3.70,74.11,0
