Data Source,TIMEFRAME (DD/MM/YYYY),Volumetric Flow Meter 1,Volumetric Flow Meter 2,Pump Speed (RPM),Pump Torque ,Ambient Temperature,Horse Power,Pump Efficiency,PUMP FAILURE (1 or 0)
Rolling Stdev (30 Minute),9/12/2014 0:00,1.04,0.96,5.54,11.70,3.40,0.32,1.74,0
Rolling Stdev (30 Minute),9/12/2014 0:01,1.06,1.01,5.49,11.73,3.36,0.31,1.83,0
Rolling Stdev (30 Minute),9/12/2014 0:02,1.06,1.03,5.62,11.94,3.40,0.31,1.87,0
Rolling Stdev (30 Minute),9/12/2014 0:03,1.06,1.05,5.61,12.10,3.30,0.31,1.90,0
Rolling Stdev (30 Minute),9/12/2014 0:04,1.07,1.03,5.61,12.31,3.36,0.30,1.88,0
Rolling Stdev (30 Minute),9/12/2014 0:05,1.05,1.05,5.81,12.41,3.43,0.31,1.90,0
Rolling Stdev (30 Minute),9/12/2014 0:06,1.10,1.01,5.78,12.01,3.40,0.30,1.83,0
Rolling Stdev (30 Minute),9/12/2014 0:07,1.08,1.01,5.77,12.04,3.40,0.30,1.84,0
Rolling Stdev (30 Minute),9/12/2014 0:08,1.07,1.06,5.57,12.18,3.34,0.30,1.93,0
Rolling Stdev (30 Minute),9/12/2014 0:09,1.06,1.07,5.71,12.32,3.35,0.32,1.94,0
Rolling Stdev (30 Minute),9/12/2014 0:10,1.02,1.06,5.78,12.32,3.31,0.32,1.93,0
Rolling Stdev (30 Minute),9/12/2014 0:11,0.98,1.06,5.75,12.74,3.34,0.33,1.92,0
Rolling Stdev (30 Minute),9/12/2014 0:12,1.02,1.08,5.79,12.73,3.39,0.33,1.97,0
Rolling Stdev (30 Minute),9/12/2014 0:13,1.01,1.12,5.70,12.42,3.38,0.33,2.03,0
Rolling Stdev (30 Minute),9/12/2014 0:14,0.99,1.11,5.75,12.28,3.39,0.33,2.02,0
Rolling Stdev (30 Minute),9/12/2014 0:15,0.99,1.11,5.83,12.27,3.35,0.33,2.02,0
Rolling Stdev (30 Minute),9/12/2014 0:16,0.97,1.12,5.84,12.14,3.37,0.33,2.03,0
Rolling Stdev (30 Minute),9/12/2014 0:17,1.00,1.14,5.98,12.42,3.40,0.33,2.07,0
Rolling Stdev (30 Minute),9/12/2014 0:18,1.02,1.18,6.11,12.30,3.24,0.34,2.15,0
Rolling Stdev (30 Minute),9/12/2014 0:19,1.01,1.16,6.10,11.72,3.21,0.33,2.11,0
Rolling Stdev (30 Minute),9/12/2014 0:20,1.01,1.20,6.18,11.79,3.27,0.33,2.18,0
Rolling Stdev (30 Minute),9/12/2014 0:21,1.07,1.21,6.35,11.80,3.22,0.34,2.19,0
Rolling Stdev (30 Minute),9/12/2014 0:22,1.08,1.24,6.31,11.58,3.31,0.33,2.26,0
